match_id,season,date,venue,batting_team,batter,runs,balls_faced,fours,sixes,strike_rate,fantasy_pts,form_score
548346,2012,2012-04-29,Wankhede Stadium,Sunrisers Hyderabad,A Ashish Reddy,10,10,0,1,100.0,12,12.0
548352,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,A Ashish Reddy,3,3,0,0,100.0,3,7.5
548359,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,8,8,1,0,100.0,9,8.0
548373,2012,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,10,4,2,0,250.0,12,9.0
548376,2012,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,4,5,0,0,80.0,4,8.0
598000,2013,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,7,4,1,0,175.0,8,7.2
598004,2013,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,14,12,0,1,116.7,16,9.8
598048,2013,2013-04-09,M Chinnaswamy Stadium,Sunrisers Hyderabad,A Ashish Reddy,3,4,0,0,75.0,3,8.6
598010,2013,2013-04-12,Feroz Shah Kotla,Sunrisers Hyderabad,A Ashish Reddy,16,9,2,0,177.8,18,9.8
598013,2013,2013-04-14,Eden Gardens,Sunrisers Hyderabad,A Ashish Reddy,4,5,0,0,80.0,4,9.8
598018,2013,2013-04-17,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,A Ashish Reddy,19,15,0,1,126.7,21,12.4
598021,2013,2013-04-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,7,7,1,0,100.0,8,10.8
598030,2013,2013-04-25,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,A Ashish Reddy,36,16,2,3,225.0,48,19.8
598032,2013,2013-04-27,Sawai Mansingh Stadium,Sunrisers Hyderabad,A Ashish Reddy,14,11,1,0,127.3,15,19.2
598044,2013,2013-05-04,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,5,7,1,0,71.4,6,19.6
829727,2015,2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,A Ashish Reddy,13,9,0,1,144.4,15,18.4
829731,2015,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,A Ashish Reddy,15,8,1,1,187.5,18,20.4
829759,2015,2015-04-27,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,A Ashish Reddy,22,8,1,2,275.0,27,16.2
829773,2015,2015-05-02,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,6,6,1,0,100.0,7,14.6
829815,2015,2015-05-17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,17,15,0,1,113.3,19,17.2
980907,2016,2016-04-12,M Chinnaswamy Stadium,Sunrisers Hyderabad,A Ashish Reddy,32,18,2,3,177.8,44,23.0
980915,2016,2016-04-16,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,13,9,0,1,144.4,15,22.4
980953,2016,2016-04-30,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,2,3,0,0,66.7,2,17.4
1304050,2022,2022-03-28,"Wankhede Stadium, Mumbai",Lucknow Super Giants,A Badoni,54,42,4,3,128.6,76,76.0
1304053,2022,2022-03-31,"Brabourne Stadium, Mumbai",Lucknow Super Giants,A Badoni,19,14,0,2,135.7,23,49.5
1304058,2022,2022-04-04,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,A Badoni,19,13,3,0,146.2,22,40.3
1304061,2022,2022-04-07,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,A Badoni,10,3,1,1,333.3,13,33.5
1304066,2022,2022-04-10,"Wankhede Stadium, Mumbai",Lucknow Super Giants,A Badoni,5,7,0,0,71.4,5,27.8
1304077,2022,2022-04-19,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,A Badoni,13,13,2,0,100.0,15,15.6
1304083,2022,2022-04-24,"Wankhede Stadium, Mumbai",Lucknow Super Giants,A Badoni,14,11,0,1,127.3,16,14.2
1304088,2022,2022-04-29,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,A Badoni,4,4,0,0,100.0,4,10.6
1304099,2022,2022-05-07,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,A Badoni,15,19,0,0,78.9,15,11.0
1304103,2022,2022-05-10,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,A Badoni,8,12,1,0,66.7,9,11.8
1304109,2022,2022-05-15,"Brabourne Stadium, Mumbai",Lucknow Super Giants,A Badoni,0,1,0,0,0.0,-2,8.4
1359477,2023,2023-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,18,9,1,2,200.0,23,9.8
1359480,2023,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,A Badoni,23,19,0,0,121.1,23,13.6
1359489,2023,2023-04-10,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,A Badoni,30,29,4,0,103.4,38,18.2
1359495,2023,2023-04-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,5,7,0,0,71.4,5,17.4
1359500,2023,2023-04-19,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,A Badoni,1,4,0,0,25.0,1,18.0
1359504,2023,2023-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,8,6,0,0,133.3,8,15.0
1359512,2023,2023-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Lucknow Super Giants,A Badoni,43,25,3,3,172.0,56,21.6
1359517,2023,2023-05-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,4,11,0,0,36.4,4,14.8
1359525,2023,2023-05-07,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,A Badoni,21,12,1,2,175.0,26,19.0
1359542,2023,2023-05-20,"Eden Gardens, Kolkata",Lucknow Super Giants,A Badoni,25,22,2,1,113.6,29,24.6
1370351,2023,2023-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,A Badoni,1,7,0,0,14.3,1,23.2
1422122,2024,2024-03-24,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,A Badoni,1,5,0,0,20.0,1,12.2
1422129,2024,2024-03-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,8,10,0,0,80.0,8,13.0
1422133,2024,2024-04-02,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,A Badoni,0,3,0,0,0.0,-2,7.4
1422139,2024,2024-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,20,12,3,0,166.7,23,6.2
1426264,2024,2024-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,55,38,5,1,144.7,74,20.8
1426266,2024,2024-04-14,"Eden Gardens, Kolkata",Lucknow Super Giants,A Badoni,29,27,2,1,107.4,33,27.2
1426282,2024,2024-04-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,18,15,1,0,120.0,19,29.4
1426286,2024,2024-04-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,6,6,1,0,100.0,7,31.2
1426292,2024,2024-05-05,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,15,13,0,1,115.4,17,30.0
1426295,2024,2024-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,A Badoni,55,32,9,0,171.9,76,30.4
1426302,2024,2024-05-14,"Arun Jaitley Stadium, Delhi",Lucknow Super Giants,A Badoni,6,9,0,0,66.7,6,25.0
1426305,2024,2024-05-17,"Wankhede Stadium, Mumbai",Lucknow Super Giants,A Badoni,22,10,1,2,220.0,27,26.6
548373,2012,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,A Chandila,0,1,0,0,0.0,-2,-2.0
598023,2013,2013-04-20,M Chinnaswamy Stadium,Rajasthan Royals,A Chandila,4,6,0,0,66.7,4,1.0
336010,2007-08,2008-05-08,Eden Gardens,Kolkata Knight Riders,A Chopra,2,5,0,0,40.0,2,2.0
336014,2007-08,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,A Chopra,24,25,3,0,96.0,27,14.5
336017,2007-08,2008-05-13,Eden Gardens,Kolkata Knight Riders,A Chopra,13,18,2,0,72.2,15,14.7
336021,2007-08,2008-05-16,Wankhede Stadium,Kolkata Knight Riders,A Chopra,1,4,0,0,25.0,1,11.2
336035,2007-08,2008-05-25,Eden Gardens,Kolkata Knight Riders,A Chopra,2,3,0,0,66.7,2,9.4
392184,2009,2009-04-19,Newlands,Kolkata Knight Riders,A Chopra,11,20,2,0,55.0,13,11.6
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,A Choudhary,6,2,0,1,300.0,8,8.0
1082621,2017,2017-04-27,M Chinnaswamy Stadium,Royal Challengers Bangalore,A Choudhary,15,12,1,0,125.0,16,12.0
1082633,2017,2017-05-05,M Chinnaswamy Stadium,Royal Challengers Bangalore,A Choudhary,4,6,0,0,66.7,4,9.3
1136569,2018,2018-04-14,Wankhede Stadium,Mumbai Indians,A Dananjaya,4,5,0,0,80.0,4,4.0
392181,2009,2009-04-18,Newlands,Chennai Super Kings,A Flintoff,24,25,2,1,96.0,28,28.0
392185,2009,2009-04-20,St George's Park,Chennai Super Kings,A Flintoff,22,14,2,1,157.1,26,27.0
392189,2009,2009-04-23,Kingsmead,Chennai Super Kings,A Flintoff,16,18,1,0,88.9,17,23.7
1426298,2024,2024-05-11,"Eden Gardens, Kolkata",Mumbai Indians,A Kamboj,2,2,0,0,100.0,2,2.0
336006,2007-08,2008-05-05,M Chinnaswamy Stadium,Royal Challengers Bangalore,A Kumble,3,7,0,0,42.9,3,3.0
336016,2007-08,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,A Kumble,0,1,0,0,0.0,-2,0.5
336023,2007-08,2008-05-17,Sawai Mansingh Stadium,Royal Challengers Bangalore,A Kumble,8,8,1,0,100.0,9,3.3
336029,2007-08,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,A Kumble,2,1,0,0,200.0,2,3.0
392185,2009,2009-04-20,St George's Park,Royal Challengers Bangalore,A Kumble,1,5,0,0,20.0,1,2.6
392188,2009,2009-04-22,Newlands,Royal Challengers Bangalore,A Kumble,1,1,0,0,100.0,1,2.2
392191,2009,2009-04-24,Kingsmead,Royal Challengers Bangalore,A Kumble,5,3,1,0,166.7,6,3.8
392204,2009,2009-05-01,Kingsmead,Royal Challengers Bangalore,A Kumble,1,4,0,0,25.0,1,2.2
