match_id,season,date,venue,bowling_team,bowler,balls_bowled,runs_given,wickets,overs,economy,is_3fer,is_5fer,fantasy_pts,form_score,career_wickets,career_matches,career_economy,career_3fers,career_5fers
548341,2012,2012-04-26,Subrata Roy Sahara Stadium,Sunrisers Hyderabad,A Ashish Reddy,24,32,2,4.0,8.0,0,0,50,50.0,19,20,9.45,1,0
548346,2012,2012-04-29,Wankhede Stadium,Sunrisers Hyderabad,A Ashish Reddy,13,10,1,2.2,4.55,0,0,31,40.5,19,20,9.45,1,0
548348,2012,2012-05-01,Barabati Stadium,Sunrisers Hyderabad,A Ashish Reddy,18,30,1,3.0,10.0,0,0,23,34.7,19,20,9.45,1,0
548352,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,A Ashish Reddy,12,14,1,2.0,7.0,0,0,25,32.2,19,20,9.45,1,0
548356,2012,2012-05-06,M Chinnaswamy Stadium,Sunrisers Hyderabad,A Ashish Reddy,24,35,1,4.0,8.75,0,0,25,30.8,19,20,9.45,1,0
548359,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,24,37,2,4.0,9.25,0,0,48,30.4,19,20,9.45,1,0
548329,2012,2012-05-10,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,12,29,0,2.0,14.5,0,0,-2,23.8,19,20,9.45,1,0
548373,2012,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,12,17,0,2.0,8.5,0,0,0,19.2,19,20,9.45,1,0
548376,2012,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,24,24,3,4.0,6.0,1,0,79,30.0,19,20,9.45,1,0
598000,2013,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,12,21,1,2.0,10.5,0,0,23,29.6,19,20,9.45,1,0
598004,2013,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,6,7,1,1.0,7.0,0,0,25,25.0,19,20,9.45,1,0
598048,2013,2013-04-09,M Chinnaswamy Stadium,Sunrisers Hyderabad,A Ashish Reddy,6,13,0,1.0,13.0,0,0,-2,25.0,19,20,9.45,1,0
598013,2013,2013-04-14,Eden Gardens,Sunrisers Hyderabad,A Ashish Reddy,12,15,1,2.0,7.5,0,0,25,30.0,19,20,9.45,1,0
598030,2013,2013-04-25,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,A Ashish Reddy,4,14,0,0.7,20.0,0,0,-2,13.8,19,20,9.45,1,0
829719,2015,2015-04-13,M Chinnaswamy Stadium,Sunrisers Hyderabad,A Ashish Reddy,6,11,1,1.0,11.0,0,0,23,13.8,19,20,9.45,1,0
829727,2015,2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,A Ashish Reddy,6,5,0,1.0,5.0,0,0,0,8.8,19,20,9.45,1,0
829731,2015,2015-04-18,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,A Ashish Reddy,12,15,1,2.0,7.5,0,0,25,14.2,19,20,9.45,1,0
829773,2015,2015-05-02,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,12,19,2,2.0,9.5,0,0,48,18.8,19,20,9.45,1,0
980907,2016,2016-04-12,M Chinnaswamy Stadium,Sunrisers Hyderabad,A Ashish Reddy,11,26,0,1.8,14.44,0,0,-2,18.8,19,20,9.45,1,0
980915,2016,2016-04-16,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,A Ashish Reddy,12,14,1,2.0,7.0,0,0,25,19.2,19,20,9.45,1,0
1304083,2022,2022-04-24,"Wankhede Stadium, Mumbai",Lucknow Super Giants,A Badoni,6,6,1,1.0,6.0,0,0,25,25.0,2,5,7.4,0,0
1304109,2022,2022-05-15,"Brabourne Stadium, Mumbai",Lucknow Super Giants,A Badoni,6,6,1,1.0,6.0,0,0,25,25.0,2,5,7.4,0,0
1359512,2023,2023-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Lucknow Super Giants,A Badoni,1,0,0,0.2,0.0,0,0,6,18.7,2,5,7.4,0,0
1422122,2024,2024-03-24,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,A Badoni,6,6,0,1.0,6.0,0,0,0,14.0,2,5,7.4,0,0
1426295,2024,2024-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,A Badoni,6,19,0,1.0,19.0,0,0,-2,10.8,2,5,7.4,0,0
548336,2012,2012-04-23,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,24,29,0,4.0,7.25,0,0,0,0.0,11,12,6.55,1,0
548365,2012,2012-05-13,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,24,13,4,4.0,3.25,1,0,110,55.0,11,12,6.55,1,0
548373,2012,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,A Chandila,24,21,1,4.0,5.25,0,0,25,45.0,11,12,6.55,1,0
548377,2012,2012-05-20,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,12,24,0,2.0,12.0,0,0,-2,33.2,11,12,6.55,1,0
598014,2013,2013-04-14,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,18,14,0,3.0,4.67,0,0,6,27.8,11,12,6.55,1,0
598019,2013,2013-04-17,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,12,8,2,2.0,4.0,0,0,56,39.0,11,12,6.55,1,0
598023,2013,2013-04-20,M Chinnaswamy Stadium,Rajasthan Royals,A Chandila,24,21,0,4.0,5.25,0,0,0,17.0,11,12,6.55,1,0
598026,2013,2013-04-22,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,A Chandila,18,16,1,3.0,5.33,0,0,25,17.0,11,12,6.55,1,0
598032,2013,2013-04-27,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,18,13,2,3.0,4.33,0,0,56,28.6,11,12,6.55,1,0
598036,2013,2013-04-29,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,24,39,0,4.0,9.75,0,0,-2,27.0,11,12,6.55,1,0
598047,2013,2013-05-05,Sawai Mansingh Stadium,Rajasthan Royals,A Chandila,12,23,0,2.0,11.5,0,0,-2,15.4,11,12,6.55,1,0
598052,2013,2013-05-09,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,A Chandila,24,24,1,4.0,6.0,0,0,25,20.4,11,12,6.55,1,0
