match_id,season,date,venue,team1,team2,winner,toss_winner,toss_decision,toss_won_match
335982,2007-08,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,field,0
335983,2007-08,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,1
335984,2007-08,2008-04-19,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,0
335985,2007-08,2008-04-20,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,bat,0
335986,2007-08,2008-04-20,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,0
335987,2007-08,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,0
335988,2007-08,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,0
335989,2007-08,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,0
335990,2007-08,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,1
335991,2007-08,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Punjab Kings,Mumbai Indians,field,0
335992,2007-08,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,1
335993,2007-08,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,0
335994,2007-08,2008-04-27,Dr DY Patil Sports Academy,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,1
335995,2007-08,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,0
335996,2007-08,2008-04-28,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,1
335997,2007-08,2008-04-29,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,bat,0
335998,2007-08,2008-04-30,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,0
335999,2007-08,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,field,1
