player_name,career_runs,career_bat_matches,career_avg,career_sr,career_fifties,career_hundreds,career_bat_pts,career_wickets,career_bowl_matches,career_economy,career_bowl_pts,player_id,role
A Ashish Reddy,280.0,23.0,12.17,135.39,0.0,0.0,14.52,19.0,20.0,9.45,23.35,1,All-rounder
A Badoni,575.0,34.0,16.91,110.78,3.0,0.0,20.56,2.0,5.0,7.4,10.8,2,All-rounder
A Chandila,4.0,2.0,2.0,33.35,0.0,0.0,1.0,11.0,12.0,6.55,24.75,3,All-rounder
A Chopra,53.0,6.0,8.83,59.15,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4,Batter
A Choudhary,25.0,3.0,8.33,163.9,0.0,0.0,9.33,5.0,5.0,8.21,25.4,5,All-rounder
A Dananjaya,4.0,1.0,4.0,80.0,0.0,0.0,4.0,0.0,1.0,11.5,-2.0,6,All-rounder
A Flintoff,62.0,3.0,20.67,114.0,0.0,0.0,23.67,2.0,3.0,9.14,17.33,7,All-rounder
A Kamboj,2.0,1.0,2.0,100.0,0.0,0.0,2.0,2.0,3.0,10.45,16.0,8,All-rounder
A Kumble,35.0,15.0,2.33,79.19,0.0,0.0,2.4,49.0,42.0,6.54,31.5,9,All-rounder
A Manohar,231.0,15.0,15.4,106.69,0.0,0.0,18.8,0.0,0.0,0.0,0.0,10,Batter
A Mishra,381.0,55.0,6.93,85.97,0.0,0.0,7.53,182.0,162.0,7.47,29.28,11,All-rounder
A Mithun,34.0,6.0,5.67,117.57,0.0,0.0,6.33,8.0,16.0,9.41,11.38,12,All-rounder
A Mukund,19.0,2.0,9.5,43.2,0.0,0.0,9.0,0.0,0.0,0.0,0.0,13,Batter
A Nehra,41.0,17.0,2.41,37.06,0.0,0.0,1.88,120.0,88.0,7.67,35.05,14,All-rounder
A Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.33,23.0,15,Bowler
A Nortje,49.0,13.0,3.77,95.05,0.0,0.0,3.77,62.0,46.0,8.86,33.83,16,All-rounder
A Raghuvanshi,163.0,7.0,23.29,140.66,1.0,0.0,30.71,0.0,0.0,0.0,0.0,17,Batter
A Singh,2.0,5.0,0.4,20.0,0.0,0.0,-0.8,31.0,23.0,8.22,34.48,18,All-rounder
A Symonds,974.0,36.0,27.06,112.47,6.0,1.0,34.72,23.0,30.0,8.23,19.57,19,All-rounder
A Tomar,4.0,1.0,4.0,50.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20,Batter
A Uniyal,4.0,2.0,2.0,33.35,0.0,0.0,1.0,3.0,2.0,11.38,37.5,21,All-rounder
A Zampa,15.0,5.0,3.0,54.94,0.0,0.0,2.8,30.0,20.0,7.87,39.0,22,All-rounder
AA Bilakhia,69.0,7.0,9.86,79.56,0.0,0.0,10.57,0.0,0.0,0.0,0.0,23,Batter
AA Chavan,12.0,3.0,4.0,116.67,0.0,0.0,4.67,8.0,13.0,8.48,15.54,24,All-rounder
AA Jhunjhunwala,217.0,15.0,14.47,95.92,1.0,0.0,17.33,1.0,10.0,9.72,1.9,25,All-rounder
AA Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,23.0,26,Bowler
AA Kulkarni,9.0,2.0,4.5,64.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,27,Batter
AA Noffke,9.0,1.0,9.0,75.0,0.0,0.0,10.0,1.0,1.0,9.0,25.0,28,All-rounder
AB Agarkar,179.0,18.0,9.94,117.22,0.0,0.0,11.44,33.0,42.0,8.79,19.64,29,All-rounder
AB Barath,42.0,3.0,14.0,75.97,0.0,0.0,17.67,0.0,0.0,0.0,0.0,30,Batter
AB Dinda,26.0,16.0,1.62,47.55,0.0,0.0,1.0,81.0,74.0,7.96,28.01,31,All-rounder
AB McDonald,123.0,9.0,13.67,105.89,0.0,0.0,16.22,14.0,10.0,8.41,35.2,32,All-rounder
AB de Villiers,5114.0,168.0,30.44,129.34,43.0,3.0,39.6,0.0,0.0,0.0,0.0,33,Batter
AC Blizzard,120.0,7.0,17.14,97.06,1.0,0.0,22.71,0.0,0.0,0.0,0.0,34,Batter
AC Gilchrist,2069.0,80.0,25.86,114.25,13.0,2.0,33.98,1.0,1.0,0.0,31.0,35,All-rounder
AC Thomas,20.0,4.0,5.0,75.0,0.0,0.0,5.25,16.0,14.0,7.92,28.57,36,All-rounder
AC Voges,181.0,7.0,25.86,124.41,0.0,0.0,30.0,1.0,7.0,9.07,3.86,37,All-rounder
AD Hales,148.0,6.0,24.67,112.07,0.0,0.0,30.83,0.0,0.0,0.0,0.0,38,Batter
AD Mascarenhas,79.0,11.0,7.18,91.95,0.0,0.0,7.45,19.0,13.0,7.07,37.77,39,All-rounder
AD Mathews,723.0,40.0,18.08,115.48,1.0,0.0,21.52,28.0,44.0,8.31,16.05,40,All-rounder
AD Nath,90.0,10.0,9.0,74.74,0.0,0.0,9.9,0.0,0.0,0.0,0.0,41,Batter
AD Russell,2488.0,104.0,23.92,141.92,11.0,0.0,31.76,125.0,112.0,9.61,27.76,42,All-rounder
AF Milne,23.0,6.0,3.83,52.9,0.0,0.0,3.5,9.0,10.0,9.63,22.1,43,All-rounder
AG Murtaza,10.0,3.0,3.33,75.0,0.0,0.0,3.67,12.0,12.0,7.69,27.17,44,All-rounder
AG Paunikar,49.0,5.0,9.8,63.56,0.0,0.0,11.2,0.0,0.0,0.0,0.0,45,Batter
AJ Finch,2092.0,90.0,23.24,108.36,15.0,0.0,29.73,1.0,5.0,10.73,5.8,46,All-rounder
AJ Hosein,16.0,1.0,16.0,145.5,0.0,0.0,19.0,1.0,1.0,10.25,23.0,47,All-rounder
AJ Turner,24.0,6.0,4.0,40.67,0.0,0.0,3.67,0.0,0.0,0.0,0.0,48,Batter
AJ Tye,91.0,13.0,7.0,92.34,0.0,0.0,7.77,48.0,30.0,8.62,41.13,49,All-rounder
AK Markram,995.0,42.0,23.69,114.2,5.0,0.0,29.29,2.0,14.0,8.29,3.0,50,All-rounder
AL Menaria,401.0,23.0,17.43,94.1,0.0,0.0,20.83,3.0,12.0,9.94,6.08,51,All-rounder
AM Nayar,672.0,50.0,13.44,94.97,0.0,0.0,15.66,9.0,19.0,9.15,12.16,52,All-rounder
AM Rahane,4642.0,171.0,27.15,102.3,32.0,2.0,34.2,1.0,1.0,5.0,25.0,53,All-rounder
AM Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,24.43,54,Bowler
AN Ahmed,36.0,6.0,6.0,189.75,0.0,0.0,7.0,15.0,17.0,8.23,21.94,55,All-rounder
AN Ghosh,7.0,2.0,3.5,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,56,Batter
AP Dole,34.0,2.0,17.0,128.95,0.0,0.0,21.5,5.0,3.0,9.78,40.33,57,All-rounder
AP Majumdar,87.0,4.0,21.75,113.65,0.0,0.0,26.5,0.0,0.0,0.0,0.0,58,Batter
AP Tare,339.0,27.0,12.56,115.53,1.0,0.0,15.07,0.0,0.0,0.0,0.0,59,Batter
