match_id,season,batting_team,phase,runs,wickets,balls,run_rate,avg_runs_in_phase,avg_rr_in_phase
335982,2007-08,Kolkata Knight Riders,Death,64,1,24,16.0,33.87,9.07
335982,2007-08,Kolkata Knight Riders,Middle,83,1,56,8.89,67.58,7.49
335982,2007-08,Kolkata Knight Riders,Powerplay,58,1,44,7.91,50.74,6.98
335982,2007-08,Royal Challengers Bangalore,Middle,39,6,55,4.25,67.89,7.55
335982,2007-08,Royal Challengers Bangalore,Powerplay,24,4,46,3.13,48.97,6.76
335983,2007-08,Chennai Super Kings,Death,71,0,24,17.75,37.61,9.79
335983,2007-08,Chennai Super Kings,Middle,104,3,56,11.14,68.48,7.49
335983,2007-08,Chennai Super Kings,Powerplay,59,2,44,8.05,50.35,6.95
335983,2007-08,Punjab Kings,Death,29,1,24,7.25,33.97,8.84
335983,2007-08,Punjab Kings,Middle,101,2,56,10.82,69.05,7.61
335983,2007-08,Punjab Kings,Powerplay,66,1,44,9.0,51.97,7.14
335984,2007-08,Delhi Capitals,Middle,65,0,53,7.36,65.69,7.24
335984,2007-08,Delhi Capitals,Powerplay,57,1,44,7.77,52.05,7.19
335984,2007-08,Rajasthan Royals,Death,23,1,24,5.75,33.63,8.92
335984,2007-08,Rajasthan Royals,Middle,57,4,55,6.22,68.7,7.51
335984,2007-08,Rajasthan Royals,Powerplay,42,3,43,5.86,50.66,6.99
335985,2007-08,Mumbai Indians,Death,46,3,24,11.5,36.87,9.6
335985,2007-08,Mumbai Indians,Middle,60,1,55,6.55,68.7,7.56
335985,2007-08,Mumbai Indians,Powerplay,48,3,44,6.55,49.86,6.83
335985,2007-08,Royal Challengers Bangalore,Death,39,1,23,10.17,36.24,9.82
335985,2007-08,Royal Challengers Bangalore,Middle,77,3,57,8.11,67.89,7.55
335985,2007-08,Royal Challengers Bangalore,Powerplay,45,1,43,6.28,48.97,6.76
335986,2007-08,Kolkata Knight Riders,Death,23,1,18,7.67,33.87,9.07
335986,2007-08,Kolkata Knight Riders,Middle,38,1,61,3.74,67.58,7.49
335986,2007-08,Kolkata Knight Riders,Powerplay,23,3,43,3.21,50.74,6.98
335986,2007-08,Sunrisers Hyderabad,Death,27,4,17,9.53,34.1,8.78
335986,2007-08,Sunrisers Hyderabad,Middle,32,4,56,3.43,66.29,7.31
335986,2007-08,Sunrisers Hyderabad,Powerplay,41,2,45,5.47,51.5,7.08
335987,2007-08,Punjab Kings,Death,37,4,25,8.88,33.97,8.84
335987,2007-08,Punjab Kings,Middle,66,2,55,7.2,69.05,7.61
335987,2007-08,Punjab Kings,Powerplay,59,2,42,8.43,51.97,7.14
335987,2007-08,Rajasthan Royals,Death,15,0,14,6.43,33.63,8.92
335987,2007-08,Rajasthan Royals,Middle,89,1,57,9.37,68.7,7.51
335987,2007-08,Rajasthan Royals,Powerplay,52,3,48,6.5,50.66,6.99
335988,2007-08,Delhi Capitals,Middle,77,0,40,11.55,65.69,7.24
335988,2007-08,Delhi Capitals,Powerplay,54,1,43,7.53,52.05,7.19
335988,2007-08,Sunrisers Hyderabad,Death,58,3,25,13.92,34.1,8.78
335988,2007-08,Sunrisers Hyderabad,Middle,46,3,55,5.02,66.29,7.31
335988,2007-08,Sunrisers Hyderabad,Powerplay,33,2,42,4.71,51.5,7.08
335989,2007-08,Chennai Super Kings,Death,48,2,25,11.52,37.61,9.79
335989,2007-08,Chennai Super Kings,Middle,91,1,56,9.75,68.48,7.49
335989,2007-08,Chennai Super Kings,Powerplay,51,2,46,6.65,50.35,6.95
335989,2007-08,Mumbai Indians,Death,54,1,25,12.96,36.87,9.6
335989,2007-08,Mumbai Indians,Middle,85,4,59,8.64,68.7,7.56
